ISSN	CategoryName
0167-8809	环境科学与生态学
1722-6996	农业科学
0002-1857	农业科学
1405-3195	农业科学
0167-4366	农业科学
0002-1962	农业科学
0921-7126	工程学
0890-0604	工程学
0738-4602	工程学
0001-1452	工程学
1695-9752	社会科学总论
0001-1541	化学
1090-7165	精神病学与心理学
0954-0121	社会科学总论
0899-9546	社会科学总论
1087-2914	社会科学总论
0889-2229	免疫学
1139-6121	免疫学
1742-6405	免疫学
2090-1240	临床医学
0269-9370	免疫学
2158-3226	材料科学
1748-8842	工程学
1608-5906	社会科学总论
1944-7515	社会科学总论
0302-4350	临床医学
0341-051X	临床医学
0001-7868	临床医学
0002-4805	社会科学总论
0002-4821	社会科学总论
0311-5518	地球科学
0735-0414	临床医学
0145-6008	临床医学
0741-8329	神经系统学与行为学
0002-5100	化学
1980-0436	数学
1226-2617	植物学与动物学
1005-3867	数学
0002-5240	数学
1386-923X	数学
0178-4617	工程学
0269-2813	药理学和毒理学
0971-4693	农业科学
0301-0546	免疫学
0344-5062	免疫学
1323-8930	免疫学
1088-5412	免疫学
0105-4538	免疫学
0002-5852	植物学与动物学
1078-6791	临床医学
0304-3754	社会科学总论
1868-596X	临床医学
0893-0341	神经系统学与行为学
0084-5841	农业科学
2191-0855	微生物学
0044-7447	环境科学与生态学
0002-7014	地球科学
0002-726X	社会科学总论
0002-7294	社会科学总论
0002-7316	社会科学总论
0027-9048	社会科学总论
0002-7642	精神病学与心理学
0002-7685	社会科学总论
0002-7766	社会科学总论
0002-7812	材料科学
0164-0364	社会科学总论
0002-8282	经济与商业
0002-8312	社会科学总论
0094-0496	社会科学总论
0002-838X	临床医学
0002-8444	植物学与动物学
0002-8703	临床医学
0002-8762	社会科学总论
0893-5394	精神病学与心理学
0002-9092	经济与商业
1526-5161	社会科学总论
0002-9122	植物学与动物学
0002-9149	临床医学
0192-415X	临床医学
1175-0561	临床医学
0002-9157	精神病学与心理学
0002-9165	临床医学
0277-3732	临床医学
0002-9173	临床医学
