ISSN	CategoryName
0747-5632	精神病学与心理学
0166-3615	计算机科学
0018-9162	计算机科学
1335-9150	计算机科学
1521-9615	计算机科学
0010-485X	计算机科学
1546-6086	化学
1552-5031	化学
1532-0626	计算机科学
1063-293X	工程学
0010-5422	植物学与动物学
0738-8942	社会科学总论
0914-3505	临床医学
0954-0091	计算机科学
0300-8207	分子生物学与遗传学
1053-8100	精神病学与心理学
0888-8892	环境科学与生态学
1566-0621	环境科学与生态学
1383-7133	计算机科学
0950-0618	材料科学
0176-4276	数学
0105-1873	临床医学
0823-9150	经济与商业
1074-3529	经济与商业
0361-476X	精神病学与心理学
1043-898X	社会科学总论
0010-7514	物理学
0010-7530	精神病学与心理学
0094-3061	社会科学总论
0278-4343	植物学与动物学
0268-4160	社会科学总论
0935-1175	工程学
0010-7824	临床医学
0069-9667	社会科学总论
0010-7999	地球科学
0863-1042	物理学
1383-4517	植物学与动物学
0967-0661	工程学
0010-8545	化学
1541-2555	临床医学
0045-8511	植物学与动物学
0722-4028	植物学与动物学
0277-3740	临床医学
0010-8812	社会科学总论
0010-8847	社会科学总论
0954-6928	临床医学
0964-8410	经济与商业
1478-422X	材料科学
0334-6005	材料科学
0010-938X	材料科学
0010-9312	材料科学
0010-9452	神经系统学与行为学
0010-9525	空间科学
0011-0000	精神病学与心理学
0886-9634	临床医学
1040-0419	精神病学与心理学
0195-6671	地球科学
0011-1287	社会科学总论
0925-4994	社会科学总论
0093-8548	精神病学与心理学
0011-135X	社会科学总论
0011-1384	社会科学总论
1467-2715	社会科学总论
0749-0704	临床医学
0090-3493	临床医学
1466-609X	临床医学
0093-1896	社会科学总论
1040-8347	化学
1040-9238	生物学与生物化学
0738-8551	生物学与生物化学
1040-8363	临床医学
1064-3389	环境科学与生态学
1045-4403	分子生物学与遗传学
1040-8398	农业科学
1040-8401	免疫学
1040-841X	微生物学
1040-8428	临床医学
0735-2689	植物学与动物学
1040-8436	物理学
0743-4863	药理学和毒理学
1040-8444	药理学和毒理学
0891-3811	社会科学总论
0261-0183	社会科学总论
1529-5036	社会科学总论
0308-275X	社会科学总论
0353-9504	临床医学
0011-1643	化学
0261-2194	农业科学
0011-183X	农业科学
1069-3971	社会科学总论
0011-216X	植物学与动物学
0011-2240	生物学与生物化学
0011-2275	物理学
0143-2044	生物学与生物化学
0181-1568	植物学与动物学
1290-0796	植物学与动物学
0181-1584	植物学与动物学
0161-1194	计算机科学
1528-7483	化学
0232-1300	化学
1063-7745	化学
1466-8033	化学
0122-5383	工程学
1752-8054	临床医学
1911-6470	临床医学
0886-7356	社会科学总论
0882-4371	社会科学总论
1474-4740	社会科学总论
0950-2386	社会科学总论
1354-067X	精神病学与心理学
1369-1058	社会科学总论
0165-005X	精神病学与心理学
1072-5830	社会科学总论
1529-7322	免疫学
0011-3204	社会科学总论
1567-1739	物理学
0960-9822	生物学与生物化学
1568-0096	药理学和毒理学
0963-7214	精神病学与心理学
1389-2002	药理学和毒理学
1389-4501	药理学和毒理学
0271-3683	临床医学
1566-5232	分子生物学与遗传学
0172-8083	分子生物学与遗传学
1389-2029	分子生物学与遗传学
0011-3530	社会科学总论
1570-162X	免疫学
1522-6417	临床医学
1467-3037	分子生物学与遗传学
0300-7995	临床医学
0929-8673	药理学和毒理学
0343-8651	微生物学
1566-5240	临床医学
1567-2026	神经系统学与行为学
0958-1669	生物学与生物化学
0268-4705	临床医学
0955-0674	分子生物学与遗传学
1367-5931	生物学与生物化学
1363-1950	临床医学
1359-0294	化学
0267-1379	临床医学
0959-437X	分子生物学与遗传学
1065-6251	临床医学
0952-7915	免疫学
0951-7375	免疫学
0957-9672	临床医学
1369-5274	微生物学
1062-4821	临床医学
0959-4388	神经系统学与行为学
1350-7540	神经系统学与行为学
1040-872X	临床医学
1040-8746	临床医学
1040-8738	临床医学
1040-8703	临床医学
1471-4892	药理学和毒理学
1369-5266	植物学与动物学
0951-7367	精神病学与心理学
1070-5287	临床医学
1040-8711	临床医学
1359-0286	材料科学
0959-440X	生物学与生物化学
0963-0643	临床医学
1385-2728	化学
1570-1794	化学
1389-2010	药理学和毒理学
1381-6128	药理学和毒理学
0147-0272	临床医学
0146-2806	临床医学
0011-3840	临床医学
1389-2037	生物学与生物化学
1046-1310	精神病学与心理学
0011-3891	综合交叉学科
0011-3921	社会科学总论
0011-393X	药理学和毒理学
1568-0266	化学
1527-2729	临床医学
0362-6784	社会科学总论
0011-4162	临床医学
0196-9722	工程学
0399-0974	植物学与动物学
1424-8581	分子生物学与遗传学
1359-6101	分子生物学与遗传学
1043-4666	分子生物学与遗传学
0011-4545	分子生物学与遗传学
1552-4922	生物学与生物化学
1552-4949	分子生物学与遗传学
0956-5507	生物学与生物化学
0920-9069	生物学与生物化学
1465-3249	生物学与生物化学
1212-1819	农业科学
1212-1800	农业科学
0011-4642	数学
2316-9907	社会科学总论
0102-311X	社会科学总论
1122-5165	社会科学总论
2239-1118	社会科学总论
0305-764X	社会科学总论
1752-1378	经济与商业
0008-1973	社会科学总论
0955-7571	社会科学总论
1192-6422	社会科学总论
1927-9825	社会科学总论
1918-2902	社会科学总论
0832-610X	临床医学
1499-2671	临床医学
1207-7798	社会科学总论
1481-8035	临床医学
0835-7900	临床医学
1188-4517	社会科学总论
1712-9532	免疫学
0829-3201	社会科学总论
1920-9355	社会科学总论
0008-4174	社会科学总论
1203-7796	临床医学
0829-5735	精神病学与心理学
1492-6156	社会科学总论
1913-2018	社会科学总论
1195-9479	临床医学
0832-8781	社会科学总论
1715-1635	药理学和毒理学
1198-2241	临床医学
1755-6171	社会科学总论
0008-5006	社会科学总论
0380-1489	社会科学总论
0701-1784	环境科学与生态学
1574-0153	临床医学
1475-2867	分子生物学与遗传学
1073-2748	临床医学
2159-8274	临床医学
1877-7821	临床医学
2210-7762	临床医学
1109-6535	临床医学
2326-6066	临床医学
2045-7634	临床医学
1940-6207	临床医学
1278-3218	临床医学
1598-2998	临床医学
1976-4251	材料科学
1758-3004	环境科学与生态学
1664-3828	临床医学
1897-5593	临床医学
1923-2829	临床医学
1061-5377	临床医学
1475-2840	临床医学
1995-1892	临床医学
1755-5914	药理学和毒理学
1530-7905	药理学和毒理学
1476-7120	临床医学
1362-0436	经济与商业
2165-1434	社会科学总论
1842-4090	地球科学
1584-2851	数学
1947-6035	临床医学
0317-7173	社会科学总论
1523-0406	社会科学总论
2214-157X	工程学
2213-624X	经济与商业
2044-4753	化学
2073-4344	化学
1933-6918	分子生物学与遗传学
1478-811X	分子生物学与遗传学
2041-4889	分子生物学与遗传学
1747-1028	分子生物学与遗传学
1931-3128	微生物学
2228-5806	分子生物学与遗传学
1550-4131	分子生物学与遗传学
2211-1247	分子生物学与遗传学
1934-5909	分子生物学与遗传学
2045-3701	生物学与生物化学
1672-7681	免疫学
2152-4971	分子生物学与遗传学
1865-5025	分子生物学与遗传学
1425-8129	材料科学
1733-7178	化学
1426-3912	免疫学
1435-246X	工程学
1210-7778	社会科学总论
0251-2920	经济与商业
0104-7760	植物学与动物学
1584-8663	物理学
1933-6950	分子生物学与遗传学
1867-3880	化学
2196-0216	化学
1860-7179	药理学和毒理学
2192-6506	化学
1864-5631	化学
1747-0277	生物学与生物化学
1451-9372	化学
1934-2659	化学
2041-6520	化学
0208-6425	化学
0235-7216	化学
1752-153X	化学
1109-4028	社会科学总论
0009-3122	化学
1861-4728	化学
2191-1363	化学
1936-5802	神经系统学与行为学
0125-2526	综合交叉学科
1356-7500	社会科学总论
0952-9136	社会科学总论
1750-8592	精神病学与心理学
1874-897X	社会科学总论
0265-6590	社会科学总论
1475-357X	精神病学与心理学
2153-2168	临床医学
0951-0605	社会科学总论
1035-0772	社会科学总论
1473-3285	社会科学总论
0718-5839	农业科学
0718-7912	数学
1671-2234	经济与商业
1756-137X	经济与商业
1673-5447	计算机科学
1672-6421	材料科学
0920-203X	社会科学总论
1008-6234	工程学
1680-2012	社会科学总论
0219-7472	社会科学总论
1002-0063	环境科学与生态学
1000-9361	工程学
1000-9604	临床医学
1000-467X	临床医学
1754-4750	社会科学总论
1672-0415	临床医学
1540-1650	社会科学总论
1750-8916	社会科学总论
1000-9345	工程学
2095-6975	药理学和毒理学
1750-614X	经济与商业
1749-8546	药理学和毒理学
1671-7694	物理学
1674-1056	物理学
1674-1137	物理学
2162-0555	社会科学总论
1297-3203	临床医学
1479-9723	临床医学
0717-7356	社会科学总论
1413-8123	社会科学总论
2007-3577	社会科学总论
1316-7081	工程学
0718-1620	农业科学
0254-0223	农业科学
2007-7521	综合交叉学科
1941-3149	临床医学
1942-325X	分子生物学与遗传学
1941-9651	临床医学
1941-7640	临床医学
1941-7705	临床医学
1941-3289	临床医学
1576-4737	社会科学总论
0009-7411	临床医学
1362-1025	社会科学总论
1535-6841	社会科学总论
1786-3341	社会科学总论
1618-954X	环境科学与生态学
1756-5529	社会科学总论
1814-9324	地球科学
2225-1154	地球科学
1699-048X	临床医学
1526-8209	临床医学
1534-6501	精神病学与心理学
1359-1045	精神病学与心理学
1533-0028	临床医学
1868-7083	临床医学
1542-3565	临床医学
1558-7673	临床医学
0731-7115	临床医学
1523-0899	临床医学
1178-1998	临床医学
1092-1095	临床医学
1555-9041	临床医学
1433-6510	临床医学
1758-4299	生物学与生物化学
1525-7304	临床医学
2152-2650	临床医学
1973-4832	临床医学
1724-4935	神经系统学与行为学
1869-1439	神经系统学与行为学
0887-6274	临床医学
1054-7738	临床医学
1432-6981	临床医学
1328-4207	精神病学与心理学
1738-1088	神经系统学与行为学
1861-0684	临床医学
1752-6981	临床医学
1740-7745	临床医学
1342-1751	临床医学
0390-6663	临床医学
0816-4622	临床医学
1976-8710	临床医学
0147-958X	临床医学
2155-384X	临床医学
1556-6811	免疫学
2039-7275	临床医学
2210-7401	临床医学
1531-0043	临床医学
1089-3261	临床医学
0891-8422	临床医学
1807-5932	临床医学
1863-2505	社会科学总论
0887-302X	社会科学总论
1386-7857	计算机科学
1469-493X	临床医学
1435-5558	精神病学与心理学
1866-9956	计算机科学
1871-4080	神经系统学与行为学
1354-6805	精神病学与心理学
1758-8928	神经系统学与行为学
1612-4782	精神病学与心理学
1389-0417	计算机科学
1543-3633	神经系统学与行为学
1943-0264	分子生物学与遗传学
2157-1422	生物学与生物化学
1468-2745	社会科学总论
0010-0757	数学
1322-7696	临床医学
1657-9534	临床医学
1462-8910	临床医学
1836-0394	社会科学总论
0725-3141	免疫学
0250-0167	社会科学总论
1525-7401	社会科学总论
1081-1680	社会科学总论
1479-1420	社会科学总论
1559-3940	数学
1815-2406	物理学
1933-5954	社会科学总论
1539-6746	数学
1007-5704	物理学
1931-4523	物理学
0341-2059	社会科学总论
1744-117X	分子生物学与遗传学
1911-4745	植物学与动物学
1993-0771	分子生物学与遗传学
1472-4790	社会科学总论
0305-7925	社会科学总论
1940-8307	植物学与动物学
1554-0189	社会科学总论
1744-3881	临床医学
2194-3206	计算机科学
1661-8254	数学
1747-6933	数学
2084-6096	材料科学
2040-4603	生物学与生物化学
1262-2788	经济与商业
0927-7099	经济与商业
1687-5265	神经系统学与行为学
1617-9447	数学
1609-4840	数学
1748-670X	数学
1381-298X	社会科学总论
2210-271X	化学
2079-3197	综合交叉学科
1092-9088	临床医学
0958-8221	社会科学总论
0267-3649	社会科学总论
1389-1286	计算机科学
1574-0137	计算机科学
1820-0214	计算机科学
0925-9724	计算机科学
1598-8198	计算机科学
2073-431X	计算机科学
2014-0304	社会科学总论
0104-8481	社会科学总论
1134-3478	社会科学总论
1690-3293	临床医学
1607-324X	物理学
1677-0943	社会科学总论
1747-079X	临床医学
0972-4923	社会科学总论
1877-7252	环境科学与生态学
1755-263X	环境科学与生态学
1351-0487	社会科学总论
1835-6354	经济与商业
0144-6193	经济与商业
1025-3866	经济与商业
1367-0484	临床医学
1551-7144	临床医学
0960-7773	社会科学总论
1037-6178	临床医学
1470-8914	社会科学总论
1356-9775	社会科学总论
1995-4255	环境科学与生态学
0129-797X	社会科学总论
1030-4312	社会科学总论
1555-4309	临床医学
1335-1842	空间科学
1715-0868	数学
0302-5144	临床医学
1454-8658	工程学
1354-8565	社会科学总论
1405-1435	社会科学总论
0010-8367	社会科学总论
2078-7170	临床医学
1938-9655	经济与商业
1472-0701	经济与商业
1535-3958	经济与商业
1749-5032	社会科学总论
1613-7027	社会科学总论
2100-9619	临床医学
1837-5391	社会科学总论
0160-7960	精神病学与心理学
0963-1690	经济与商业
1741-6590	社会科学总论
0192-3234	社会科学总论
0957-9664	精神病学与心理学
1748-8958	社会科学总论
1538-6473	社会科学总论
0227-5910	精神病学与心理学
0256-0046	社会科学总论
0279-5442	临床医学
0899-5885	临床医学
1441-2772	临床医学
1205-8629	社会科学总论
1740-5904	社会科学总论
1920-4175	社会科学总论
1045-2354	经济与商业
2165-8684	社会科学总论
0958-1596	社会科学总论
1838-8310	社会科学总论
0896-9205	社会科学总论
1750-8487	社会科学总论
1848-5189	社会科学总论
1845-5719	植物学与动物学
1836-0947	农业科学
1984-7033	农业科学
1352-7606	经济与商业
1994-0416	地球科学
1936-2447	计算机科学
0889-311X	化学
2073-4352	材料科学
0210-5462	社会科学总论
1659-0139	社会科学总论
1132-1989	社会科学总论
0122-1450	农业科学
0121-053X	社会科学总论
0718-4123	精神病学与心理学
0797-6062	经济与商业
0250-5150	临床医学
1135-6405	社会科学总论
1099-9809	精神病学与心理学
1749-9755	社会科学总论
1870-1191	社会科学总论
1475-9551	经济与商业
1567-2050	神经系统学与行为学
1573-4110	化学
1523-3804	临床医学
1574-8936	计算机科学
1523-3782	临床医学
1573-4099	药理学和毒理学
1534-4827	临床医学
1567-2018	药理学和毒理学
1548-3568	免疫学
1558-8211	临床医学
1523-3847	免疫学
1368-3500	社会科学总论
0070-1998	社会科学总论
1573-4056	临床医学
1573-4137	材料科学
1528-4042	神经系统学与行为学
1570-159X	药理学和毒理学
1523-3790	临床医学
1198-0052	临床医学
1528-4050	免疫学
0952-7907	临床医学
2211-3398	化学
1070-5295	临床医学
1752-296X	临床医学
1877-3435	环境科学与生态学
1746-630X	免疫学
1087-2418	临床医学
1068-9508	临床医学
1751-4258	临床医学
1879-6257	微生物学
****-****	临床医学
1531-3433	神经系统学与行为学
0278-1204	社会科学总论
1573-4129	药理学和毒理学
1538-5442	临床医学
1570-1646	生物学与生物化学
1523-3812	精神病学与心理学
1523-3774	临床医学
1537-890X	临床医学
1574-888X	分子生物学与遗传学
0070-2153	分子生物学与遗传学
1063-5823	生物学与生物化学
0070-217X	免疫学
1540-7535	药理学和毒理学
1092-8480	神经系统学与行为学
1527-2737	临床医学
1570-1611	药理学和毒理学
1674-5507	植物学与动物学
1177-1828	社会科学总论
1808-2882	经济与商业
1556-9527	药理学和毒理学
1947-6337	农业科学
1311-9702	计算机科学
2152-2715	精神病学与心理学
0974-5963	临床医学
0095-4527	分子生物学与遗传学
1949-3584	分子生物学与遗传学
1212-1975	农业科学
0011-5258	社会科学总论
0011-5266	社会科学总论
1477-9226	化学
1560-8115	药理学和毒理学
0169-023X	计算机科学
0095-0033	社会科学总论
1384-5810	计算机科学
0748-1187	精神病学与心理学
0011-7315	经济与商业
0167-9236	计算机科学
0967-0637	地球科学
0967-0645	地球科学
1024-2694	经济与商业
0011-748X	工程学
1420-8008	神经系统学与行为学
0070-3370	社会科学总论
1125-7865	植物学与动物学
0287-4547	临床医学
0109-5641	临床医学
1600-4469	临床医学
0250-832X	临床医学
0883-9409	社会科学总论
1091-4269	精神病学与心理学
0733-8635	临床医学
1076-0512	临床医学
1018-8665	临床医学
0011-9164	化学
0929-5585	计算机科学
0142-694X	工程学
1385-772X	化学
0925-1022	计算机科学
1435-1951	植物学与动物学
0012-0413	农业科学
0012-0472	临床医学
0012-1533	经济与商业
0012-155X	社会科学总论
0954-5794	精神病学与心理学
0949-944X	分子生物学与遗传学
0012-1592	分子生物学与遗传学
0145-305X	免疫学
0012-1606	分子生物学与遗传学
1534-5807	分子生物学与遗传学
1058-8388	分子生物学与遗传学
0012-1622	神经系统学与行为学
8756-5641	精神病学与心理学
0378-5866	神经系统学与行为学
0012-1630	神经系统学与行为学
0012-1649	精神病学与心理学
0273-2297	精神病学与心理学
1363-755X	精神病学与心理学
0950-1991	分子生物学与遗传学
0163-9625	社会科学总论
1262-3636	生物学与生物化学
0149-5992	临床医学
0145-7217	临床医学
1462-8902	临床医学
0168-8227	临床医学
1520-7560	临床医学
0012-1797	临床医学
0742-3071	临床医学
0012-186X	临床医学
8755-1039	临床医学
0732-8893	免疫学
0012-1924	精神病学与心理学
0925-9635	材料科学
0269-249X	植物学与动物学
0012-2661	数学
0926-2245	数学
0301-4681	分子生物学与遗传学
0012-2823	临床医学
1590-8658	临床医学
0163-2116	临床医学
0257-2753	临床医学
0253-4886	临床医学
1051-2004	工程学
0145-2096	社会科学总论
0968-7599	社会科学总论
0963-8288	社会科学总论
0361-3666	社会科学总论
0957-9265	社会科学总论
0163-853X	精神病学与心理学
1461-4456	社会科学总论
0179-5376	工程学
1531-3492	数学
1078-0947	数学
0166-218X	工程学
1026-0226	综合交叉学科
0924-6703	工程学
1462-7264	数学
0012-365X	数学
0278-0240	临床医学
0177-5103	植物学与动物学
0012-3706	临床医学
1120-8694	临床医学
0141-9382	计算机科学
0012-3846	社会科学总论
1521-298X	药理学和毒理学
0926-8782	计算机科学
0178-2770	计算机科学
1366-9516	环境科学与生态学
0011-5029	临床医学
1044-5498	分子生物学与遗传学
1568-7864	分子生物学与遗传学
1340-2838	分子生物学与遗传学
0012-4486	临床医学
0012-5008	化学
1028-334X	地球科学
1064-5624	数学
0012-5016	化学
1028-3358	物理学
0739-7240	农业科学
1053-0797	精神病学与心理学
0376-8716	神经系统学与行为学
0959-5236	社会科学总论
0148-0545	药理学和毒理学
1071-7544	药理学和毒理学
0363-9045	药理学和毒理学
0272-4391	药理学和毒理学
1359-6446	药理学和毒理学
0090-9556	药理学和毒理学
0360-2532	药理学和毒理学
1368-7646	药理学和毒理学
0114-5916	药理学和毒理学
1170-229X	药理学和毒理学
0377-8282	药理学和毒理学
1699-3993	药理学和毒理学
0968-7637	社会科学总论
0012-6667	药理学和毒理学
1330-0288	社会科学总论
0737-3937	工程学
0012-7086	社会科学总论
0012-7094	数学
0143-7208	化学
1056-2176	工程学
1468-9367	数学
0377-0265	地球科学
1076-9242	社会科学总论
0179-051X	临床医学
1958-5586	农业科学
****-****	经济与商业
2245-1919	临床医学
1758-0463	生物学与生物化学
1464-3154	社会科学总论
1545-8490	经济与商业
1929-8692	社会科学总论
1471-3012	社会科学总论
1351-0347	社会科学总论
1435-9871	社会科学总论
1641-1307	植物学与动物学
1644-387X	临床医学
1710-3568	临床医学
1396-0296	临床医学
1027-8117	临床医学
2036-7392	临床医学
1944-3994	工程学
0415-6412	临床医学
1866-0452	临床医学
1471-8731	社会科学总论
0950-6764	社会科学总论
0376-835X	社会科学总论
0961-4524	社会科学总论
1878-9293	神经系统学与行为学
1940-5510	神经系统学与行为学
1932-8451	神经系统学与行为学
1751-8423	神经系统学与行为学
1772-9971	地球科学
0378-7931	社会科学总论
1479-1641	临床医学
2072-0351	临床医学
1861-7603	临床医学
1520-9156	临床医学
1860-9716	临床医学
1861-9002	临床医学
1758-5996	临床医学
0176-4225	社会科学总论
2194-8011	临床医学
1746-1596	临床医学
2211-5684	临床医学
1305-3825	临床医学
2075-4418	临床医学
0942-4040	社会科学总论
1040-7391	社会科学总论
0971-3514	数学
0893-4983	数学
1842-3582	材料科学
0915-5635	临床医学
1742-2876	计算机科学
2055-7671	社会科学总论
0730-4625	临床医学
1936-6574	社会科学总论
1935-7893	社会科学总论
0965-3562	社会科学总论
1750-4813	社会科学总论
0159-6306	社会科学总论
1539-6509	免疫学
1572-5286	数学
1937-1632	数学
1234-3099	数学
1754-8403	生物学与生物化学
0012-3862	数学
0158-7919	社会科学总论
1833-3516	社会科学总论
1431-0643	数学
2035-8792	社会科学总论
0212-1573	社会科学总论
1607-6729	生物学与生物化学
1559-3258	药理学和毒理学
1644-3985	材料科学
2190-393X	药理学和毒理学
1177-8881	药理学和毒理学
1347-4367	药理学和毒理学
2194-9379	药理学和毒理学
1942-7603	药理学和毒理学
0012-6772	材料科学
1742-058X	社会科学总论
0309-6564	社会科学总论
2211-7245	社会科学总论
2153-0785	数学
1548-159X	数学
0211-9536	社会科学总论
0012-7361	工程学
1212-3609	经济与商业
2280-4056	社会科学总论
1634-0647	临床医学
1618-7229	化学
0196-0202	临床医学
0885-2006	社会科学总论
0378-3782	临床医学
0012-821X	地球科学
0167-9295	空间科学
1880-5981	地球科学
0736-623X	地球科学
0197-9337	地球科学
0012-8252	地球科学
0098-8847	工程学
8755-2930	地球科学
0888-3254	社会科学总论
0012-8775	经济与商业
1020-3397	社会科学总论
0742-2822	临床医学
0906-7590	环境科学与生态学
1051-0761	环境科学与生态学
0921-8009	经济与商业
0925-8574	环境科学与生态学
0307-6946	植物学与动物学
1470-160X	环境科学与生态学
0304-3800	环境科学与生态学
0012-9615	环境科学与生态学
1040-7413	精神病学与心理学
0912-3814	环境科学与生态学
1708-3087	社会科学总论
0046-1121	社会科学总论
1461-023X	环境科学与生态学
0367-0244	农业科学
0906-6691	植物学与动物学
0012-9658	环境科学与生态学
0266-4666	经济与商业
0012-9682	经济与商业
0143-831X	经济与商业
0012-9984	经济与商业
0013-0001	植物学与动物学
0013-0079	社会科学总论
0891-2424	经济与商业
0013-0095	社会科学总论
0361-0128	地球科学
0013-0117	经济与商业
0095-2583	经济与商业
0013-0133	经济与商业
0264-9993	经济与商业
0266-4658	经济与商业
0013-0249	经济与商业
0938-2259	经济与商业
0013-0427	经济与商业
0266-2671	经济与商业
0165-1765	经济与商业
0272-7757	社会科学总论
0967-0750	经济与商业
0013-063X	经济与商业
0308-5147	社会科学总论
1525-2531	社会科学总论
1195-6860	环境科学与生态学
1432-9840	环境科学与生态学
0147-6513	环境科学与生态学
0963-9292	环境科学与生态学
0949-3026	环境科学与生态学
2162-8726	化学
2162-8769	物理学
2162-8742	物理学
0013-1245	社会科学总论
0013-161X	社会科学总论
0013-1644	精神病学与心理学
0162-3737	社会科学总论
0360-1277	社会科学总论
0013-1784	社会科学总论
0895-9048	社会科学总论
0046-1520	精神病学与心理学
1040-726X	精神病学与心理学
0013-1881	社会科学总论
0013-1911	社会科学总论
0305-5698	社会科学总论
1436-4522	社会科学总论
2191-219X	临床医学
0748-7983	临床医学
1300-1361	环境科学与生态学
0013-3035	经济与商业
0261-3794	社会科学总论
1532-5008	工程学
0378-7796	工程学
0424-7760	工程学
0948-7921	工程学
1040-0397	化学
1388-2481	化学
1344-3542	化学
0013-4686	化学
1536-8378	生物学与生物化学
0272-6343	工程学
1083-589X	数学
0717-3458	生物学与生物化学
1077-8926	数学
1083-6489	数学
0264-0473	社会科学总论
1068-9613	数学
0013-5194	工程学
1365-4675	工程学
0173-0835	化学
0013-5984	社会科学总论
0951-0893	社会科学总论
0261-4189	分子生物学与遗传学
1757-4676	临床医学
1469-221X	分子生物学与遗传学
0733-8627	临床医学
1472-0205	临床医学
1080-6040	免疫学
1540-496X	经济与商业
1042-9247	工程学
1528-3542	精神病学与心理学
1382-3256	计算机科学
0142-5455	经济与商业
0158-4197	植物学与动物学
0013-7006	神经系统学与行为学
0160-9327	社会科学总论
0918-8959	生物学与生物化学
1046-3976	生物学与生物化学
0743-5800	生物学与生物化学
0163-769X	生物学与生物化学
1351-0088	临床医学
1355-008X	生物学与生物化学
0889-8529	生物学与生物化学
0013-7227	生物学与生物化学
0013-726X	临床医学
0887-0624	工程学
0378-7788	工程学
0196-8904	工程学
0140-9883	经济与商业
0144-5987	工程学
0195-6574	经济与商业
0301-4215	社会科学总论
0360-5442	工程学
0213-005X	免疫学
0955-7997	工程学
0952-1976	工程学
0264-4401	工程学
0013-791X	经济与商业
1350-6307	工程学
0013-7944	工程学
0013-7952	地球科学
1618-0240	生物学与生物化学
0013-8029	工程学
0305-215X	工程学
0141-0296	工程学
0177-0667	计算机科学
0889-4906	社会科学总论
0013-8266	社会科学总论
0145-5613	临床医学
1467-2227	经济与商业
0013-8703	植物学与动物学
0171-8177	植物学与动物学
0785-8760	植物学与动物学
0013-872X	植物学与动物学
1738-2297	植物学与动物学
1343-8786	植物学与动物学
0898-5626	经济与商业
1042-2587	经济与商业
0013-9165	社会科学总论
1355-770X	经济与商业
0967-3407	社会科学总论
0308-518X	社会科学总论
0265-8135	社会科学总论
0263-774X	社会科学总论
0263-7758	社会科学总论
0956-2478	社会科学总论
1387-585X	环境科学与生态学
0160-4120	环境科学与生态学
1078-7275	地球科学
0924-6460	经济与商业
1352-8505	环境科学与生态学
0098-8472	植物学与动物学
0893-6692	分子生物学与遗传学
0378-1909	植物学与动物学
0376-8929	环境科学与生态学
1092-8758	工程学
0046-225X	植物学与动物学
0163-4275	社会科学总论
1567-7419	地球科学
1527-5922	环境科学与生态学
0269-4042	环境科学与生态学
0091-6765	环境科学与生态学
1084-5453	社会科学总论
0195-9255	社会科学总论
0364-152X	环境科学与生态学
1462-2912	环境科学与生态学
1420-2026	环境科学与生态学
1364-8152	计算机科学
0167-6369	环境科学与生态学
0964-4016	社会科学总论
0269-7491	环境科学与生态学
0013-9351	环境科学与生态学
1208-6053	环境科学与生态学
1462-9011	环境科学与生态学
0013-936X	环境科学与生态学
0944-1344	环境科学与生态学
0959-3330	环境科学与生态学
0730-7268	环境科学与生态学
1382-6689	药理学和毒理学
1520-4081	环境科学与生态学
0963-2719	社会科学总论
0013-9157	社会科学总论
1180-4009	环境科学与生态学
0141-0229	生物学与生物化学
0939-8368	工程学
0193-936X	社会科学总论
1210-7913	免疫学
0950-2688	社会科学总论
1044-3983	社会科学总论
0013-9580	神经系统学与行为学
1525-5050	神经系统学与行为学
0920-1211	神经系统学与行为学
1294-9361	神经系统学与行为学
0705-3797	地球科学
2195-0008	微生物学
2195-7045	综合交叉学科
0295-5075	物理学
0957-7734	植物学与动物学
0425-1644	植物学与动物学
0013-9998	地球科学
0143-3857	数学
0014-0139	工程学
0174-0008	农业科学
0376-4265	工程学
1292-8119	数学
0764-583X	数学
1292-8100	数学
0272-7714	植物学与动物学
0071-1713	社会科学总论
0367-0449	地球科学
1050-8422	精神病学与心理学
0014-1704	社会科学总论
0141-9870	社会科学总论
1049-510X	社会科学总论
1355-7858	临床医学
0014-1801	社会科学总论
0014-1844	社会科学总论
0394-9370	植物学与动物学
0179-1613	植物学与动物学
0091-2131	社会科学总论
1042-1629	社会科学总论
1225-6463	计算机科学
0014-2123	社会科学总论
1535-9778	微生物学
0014-2336	植物学与动物学
1538-7216	社会科学总论
1064-2293	农业科学
1687-6180	工程学
1687-4722	工程学
1687-3955	工程学
1687-5281	工程学
1687-1499	计算机科学
0250-7161	社会科学总论
1099-5129	临床医学
0966-8136	社会科学总论
1022-6877	社会科学总论
0937-4477	临床医学
0940-1334	神经系统学与行为学
0175-7571	生物学与生物化学
1473-2262	材料科学
1018-8827	精神病学与心理学
1148-5493	分子生物学与遗传学
1072-4133	精神病学与心理学
0014-2921	经济与商业
1438-2377	农业科学
1520-765X	临床医学
0195-668X	临床医学
0265-6914	社会科学总论
1161-0301	农业科学
0265-0215	临床医学
0956-7925	数学
1439-6319	临床医学
0961-5423	临床医学
0959-8278	临床医学
0959-8049	临床医学
1010-7940	临床医学
0171-9335	分子生物学与遗传学
0014-2972	临床医学
0934-9723	微生物学
0954-3007	临床医学
0031-6970	药理学和毒理学
0195-6698	数学
0267-3231	社会科学总论
1362-5187	社会科学总论
0947-3580	工程学
1167-1122	临床医学
0378-7966	药理学和毒理学
0804-4643	生物学与生物化学
1210-5759	植物学与动物学
0393-2990	社会科学总论
1612-4669	植物学与动物学
0954-691X	临床医学
0392-2936	临床医学
0902-4441	临床医学
1388-9842	临床医学
